,Header
0,devId
1,sn
2,dataItemMap.pv28_i
3,dataItemMap.pv4_u
4,dataItemMap.pv24_i
5,dataItemMap.mppt_total_cap
6,dataItemMap.pv8_u
7,dataItemMap.a_i
8,dataItemMap.pv24_u
9,dataItemMap.mppt_9_cap
10,dataItemMap.pv20_u
11,dataItemMap.a_u
12,dataItemMap.pv17_u
13,dataItemMap.pv20_i
14,dataItemMap.efficiency
15,dataItemMap.pv17_i
16,dataItemMap.pv13_i
17,dataItemMap.pv36_i
18,dataItemMap.mppt_power
19,dataItemMap.pv13_u
20,dataItemMap.pv36_u
21,dataItemMap.run_state
22,dataItemMap.mppt_7_cap
23,dataItemMap.pv32_u
24,dataItemMap.mppt_5_cap
25,dataItemMap.pv29_u
26,dataItemMap.pv4_i
27,dataItemMap.pv32_i
28,dataItemMap.pv8_i
29,dataItemMap.pv27_i
30,dataItemMap.pv1_u
31,dataItemMap.pv23_i
32,dataItemMap.pv5_u
33,dataItemMap.pv23_u
34,dataItemMap.inverter_state
35,dataItemMap.pv9_u
36,dataItemMap.mppt_3_cap
37,dataItemMap.mppt_10_cap
38,dataItemMap.pv16_u
39,dataItemMap.temperature
40,dataItemMap.pv16_i
41,dataItemMap.pv12_i
42,dataItemMap.pv35_i
43,dataItemMap.pv12_u
44,dataItemMap.mppt_1_cap
45,dataItemMap.pv35_u
46,dataItemMap.pv31_u
47,dataItemMap.pv1_i
48,dataItemMap.pv28_u
49,dataItemMap.pv5_i
50,dataItemMap.pv31_i
51,dataItemMap.pv9_i
52,dataItemMap.pv26_i
53,dataItemMap.pv2_u
54,dataItemMap.pv22_i
55,dataItemMap.power_factor
56,dataItemMap.pv6_u
57,dataItemMap.pv22_u
58,dataItemMap.open_time
59,dataItemMap.c_i
60,dataItemMap.pv19_u
61,dataItemMap.pv15_u
62,dataItemMap.reactive_power
63,dataItemMap.c_u
64,dataItemMap.mppt_8_cap
65,dataItemMap.pv15_i
66,dataItemMap.pv11_i
67,dataItemMap.pv34_i
68,dataItemMap.pv11_u
69,dataItemMap.pv34_u
70,dataItemMap.close_time
71,dataItemMap.pv19_i
72,dataItemMap.pv30_u
73,dataItemMap.pv27_u
74,dataItemMap.pv2_i
75,dataItemMap.active_power
76,dataItemMap.pv30_i
77,dataItemMap.pv6_i
78,dataItemMap.mppt_6_cap
79,dataItemMap.pv29_i
80,dataItemMap.pv3_u
81,dataItemMap.pv25_i
82,dataItemMap.pv7_u
83,dataItemMap.pv25_u
84,dataItemMap.total_cap
85,dataItemMap.b_i
86,dataItemMap.pv21_u
87,dataItemMap.pv18_u
88,dataItemMap.bc_u
89,dataItemMap.b_u
90,dataItemMap.pv21_i
91,dataItemMap.elec_freq
92,dataItemMap.mppt_4_cap
93,dataItemMap.pv18_i
94,dataItemMap.day_cap
95,dataItemMap.pv33_i
96,dataItemMap.pv14_i
97,dataItemMap.pv33_u
98,dataItemMap.pv14_u
99,dataItemMap.pv10_u
100,dataItemMap.pv26_u
101,dataItemMap.pv3_i
102,dataItemMap.mppt_2_cap
103,dataItemMap.ab_u
104,dataItemMap.ca_u
105,dataItemMap.pv7_i
106,dataItemMap.pv10_i
